Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
G42 8UG,No,55.834245,-4.259773,258568,662422,NS585624,6/1/1997 12:00:00 AM,6/1/1998 12:00:00 AM,28,,,"Crosshill",0.2,"",""
G42 8UH,Yes,55.830654,-4.24925,259214,662001,NS592620,1/1/1980 12:00:00 AM,,21,27,18,"Crosshill",0.6,"",""
G42 8UJ,Yes,55.830394,-4.250688,259123,661975,NS591619,1/1/1980 12:00:00 AM,,22,68,36,"Crosshill",0.5,"",""
G42 8UL,Yes,55.829812,-4.249073,259222,661907,NS592619,1/1/1980 12:00:00 AM,,22,48,35,"Crosshill",0.6,"",""
G42 8UN,Yes,55.830397,-4.249554,259194,661973,NS591619,1/1/1980 12:00:00 AM,,21,51,31,"Crosshill",0.6,"",""
G42 8UQ,Yes,55.831459,-4.253879,258927,662100,NS589621,1/1/1980 12:00:00 AM,,25,101,30,"Crosshill",0.3,"",""
G42 8WD,No,55.834245,-4.259757,258569,662422,NS585624,12/1/1997 12:00:00 AM,12/1/1999 12:00:00 AM,28,,,"Crosshill",0.2,"",""
G42 8WE,No,55.834212,-4.259596,258579,662418,NS585624,12/1/1997 12:00:00 AM,6/1/1998 12:00:00 AM,28,,,"Crosshill",0.2,"",""
G42 8WF,No,55.834212,-4.259596,258579,662418,NS585624,12/1/1997 12:00:00 AM,6/1/1999 12:00:00 AM,28,,,"Crosshill",0.2,"",""
G42 8WG,No,55.834212,-4.259596,258579,662418,NS585624,12/1/1997 12:00:00 AM,6/1/1999 12:00:00 AM,28,,,"Crosshill",0.2,"",""
G42 8WJ,No,55.834212,-4.259596,258579,662418,NS585624,12/1/1997 12:00:00 AM,6/1/1999 12:00:00 AM,28,,,"Crosshill",0.2,"",""
G42 8WS,No,55.834245,-4.259757,258569,662422,NS585624,6/1/1999 12:00:00 AM,6/1/2000 12:00:00 AM,28,,,"Crosshill",0.2,"",""
G42 8WT,No,55.834245,-4.259757,258569,662422,NS585624,6/1/1999 12:00:00 AM,12/1/1999 12:00:00 AM,28,,,"Crosshill",0.2,"",""
G42 8WU,No,55.834245,-4.259757,258569,662422,NS585624,6/1/1999 12:00:00 AM,6/1/2000 12:00:00 AM,28,,,"Crosshill",0.2,"",""
G42 8XA,Yes,55.830315,-4.255489,258822,661976,NS588619,1/1/1980 12:00:00 AM,,28,28,13,"Crosshill",0.3,"",""
G42 8XB,Yes,55.82941,-4.25582,258798,661876,NS587618,1/1/1980 12:00:00 AM,,33,27,17,"Crosshill",0.4,"",""
G42 8XD,Yes,55.828814,-4.258452,258631,661815,NS586618,1/1/1980 12:00:00 AM,,33,29,14,"Mount Florida",0.3,"",""
G42 8XE,Yes,55.828985,-4.25744,258695,661832,NS586618,1/1/1980 12:00:00 AM,,33,37,16,"Mount Florida",0.4,"",""
G42 8XF,Yes,55.828252,-4.258933,258599,661754,NS585617,1/1/1980 12:00:00 AM,,36,8,4,"Mount Florida",0.2,"",""
G42 8XG,Yes,55.828582,-4.256411,258758,661785,NS587617,1/1/1980 12:00:00 AM,,41,98,41,"Mount Florida",0.4,"",""
G42 8XJ,No,55.834245,-4.259757,258569,662422,NS585624,6/1/1996 12:00:00 AM,2/1/2001 12:00:00 AM,28,,,"Crosshill",0.2,"",""
G42 8XT,Yes,55.833712,-4.263336,258343,662370,NS583623,1/1/1980 12:00:00 AM,,26,57,20,"Queen's Park (Glasgow)",0.3,"",""
G42 8XU,Yes,55.834427,-4.263074,258362,662449,NS583624,1/1/1980 12:00:00 AM,,25,10,4,"Queen's Park (Glasgow)",0.2,"",""
G42 8ZA,No,55.834245,-4.259757,258569,662422,NS585624,6/1/1999 12:00:00 AM,6/1/2000 12:00:00 AM,28,,,"Crosshill",0.2,"",""
G42 8ZB,No,55.834245,-4.259757,258569,662422,NS585624,6/1/1999 12:00:00 AM,9/1/2000 12:00:00 AM,28,,,"Crosshill",0.2,"",""
G42 8ZD,No,55.834245,-4.259757,258569,662422,NS585624,6/1/1999 12:00:00 AM,9/1/2000 12:00:00 AM,28,,,"Crosshill",0.2,"",""
G42 8ZE,No,55.834245,-4.259757,258569,662422,NS585624,1/1/2001 12:00:00 AM,2/1/2001 12:00:00 AM,28,,,"Crosshill",0.2,"",""
G42 8ZH,No,55.834245,-4.259757,258569,662422,NS585624,12/1/1999 12:00:00 AM,9/1/2000 12:00:00 AM,28,,,"Crosshill",0.2,"",""
G42 8ZL,No,55.834245,-4.259757,258569,662422,NS585624,6/1/2000 12:00:00 AM,2/1/2001 12:00:00 AM,28,,,"Crosshill",0.2,"",""
G42 8ZQ,No,55.834278,-4.259935,258558,662426,NS585624,6/1/2000 12:00:00 AM,7/1/2001 12:00:00 AM,28,,,"Crosshill",0.2,"",""
G42 9AA,No,55.826443,-4.257373,258690,661549,NS586615,1/1/1980 12:00:00 AM,2/1/1995 12:00:00 AM,35,,,"Mount Florida",0.2,"",""
G42 9AB,Yes,55.826566,-4.257013,258713,661562,NS587615,1/1/1980 12:00:00 AM,,35,13,9,"Mount Florida",0.3,"",""
G42 9AD,Yes,55.827094,-4.256181,258767,661619,NS587616,1/1/1980 12:00:00 AM,,39,51,51,"Mount Florida",0.3,"",""
G42 9AE,Yes,55.826717,-4.257596,258677,661580,NS586615,1/1/1980 12:00:00 AM,,38,43,31,"Mount Florida",0.2,"",""
G42 9AF,Yes,55.826879,-4.258101,258646,661599,NS586615,1/1/1980 12:00:00 AM,,39,18,14,"Mount Florida",0.2,"",""
G42 9AG,Yes,55.827409,-4.255162,258832,661652,NS588616,1/1/1980 12:00:00 AM,,41,35,31,"Mount Florida",0.4,"",""
G42 9AH,Yes,55.82739,-4.258146,258645,661656,NS586616,1/1/1980 12:00:00 AM,,41,74,32,"Mount Florida",0.2,"",""
G42 9AJ,Yes,55.827502,-4.256971,258719,661666,NS587616,1/1/1980 12:00:00 AM,,42,67,30,"Mount Florida",0.3,"",""
G42 9AL,Yes,55.827772,-4.25547,258814,661693,NS588616,1/1/1980 12:00:00 AM,,44,94,36,"Mount Florida",0.4,"",""
G42 9AN,Yes,55.828014,-4.253536,258936,661716,NS589617,1/1/1980 12:00:00 AM,,42,77,45,"Mount Florida",0.5,"",""
G42 9AP,Yes,55.82775,-4.252754,258984,661685,NS589616,1/1/1980 12:00:00 AM,,38,36,13,"Mount Florida",0.5,"",""
G42 9AQ,Yes,55.826975,-4.258234,258638,661610,NS586616,1/1/1980 12:00:00 AM,,40,25,13,"Mount Florida",0.2,"",""
G42 9AR,Yes,55.828171,-4.252332,259012,661731,NS590617,1/1/1980 12:00:00 AM,,38,21,10,"Mount Florida",0.6,"",""
G42 9AS,Yes,55.827538,-4.252071,259026,661660,NS590616,1/1/1980 12:00:00 AM,,34,17,8,"Mount Florida",0.6,"",""
G42 9AT,Yes,55.827806,-4.251672,259052,661689,NS590616,1/1/1980 12:00:00 AM,,33,72,26,"Mount Florida",0.6,"",""
G42 9AW,Yes,55.827299,-4.254309,258885,661638,NS588616,1/1/1980 12:00:00 AM,,39,50,36,"Mount Florida",0.4,"",""
G42 9AX,Yes,55.82637,-4.266693,258106,661560,NS581615,12/1/1983 12:00:00 AM,,27,51,43,"Mount Florida",0.3,"",""
G42 9AY,Yes,55.825234,-4.2532,258947,661406,NS589614,6/1/2001 12:00:00 AM,,36,,,"Mount Florida",0.5,"",""
G42 9AZ,Yes,55.825234,-4.2532,258947,661406,NS589614,6/1/2001 12:00:00 AM,,36,,,"Mount Florida",0.5,"",""
G42 9BA,Yes,55.826633,-4.252628,258988,661561,NS589615,1/1/1980 12:00:00 AM,,36,,,"Mount Florida",0.5,"",""
G42 9BB,Yes,55.825392,-4.25637,258749,661430,NS587614,1/1/1980 12:00:00 AM,,30,0,0,"Mount Florida",0.3,"",""
G42 9BD,Yes,55.825806,-4.257035,258709,661478,NS587614,1/1/1980 12:00:00 AM,,33,13,9,"Mount Florida",0.3,"",""
G42 9BE,Yes,55.826242,-4.257042,258710,661526,NS587615,1/1/1980 12:00:00 AM,,33,33,25,"Mount Florida",0.3,"",""
G42 9BF,Yes,55.825234,-4.2532,258947,661406,NS589614,6/1/2001 12:00:00 AM,,36,,,"Mount Florida",0.5,"",""
G42 9BG,Yes,55.826412,-4.25611,258769,661543,NS587615,1/1/1980 12:00:00 AM,,33,31,24,"Mount Florida",0.3,"",""
G42 9BH,Yes,55.826755,-4.25407,258898,661577,NS588615,1/1/1980 12:00:00 AM,,35,46,25,"Mount Florida",0.4,"",""
G42 9BJ,Yes,55.826671,-4.254752,258855,661569,NS588615,1/1/1980 12:00:00 AM,,34,48,31,"Mount Florida",0.4,"",""
G42 9BL,Yes,55.82676,-4.255268,258823,661580,NS588615,1/1/1980 12:00:00 AM,,35,2,1,"Mount Florida",0.4,"",""
G42 9BN,Yes,55.826872,-4.255051,258837,661592,NS588615,1/1/1980 12:00:00 AM,,36,57,35,"Mount Florida",0.4,"",""
G42 9BP,No,55.825216,-4.263513,258301,661425,NS583614,6/1/1996 12:00:00 AM,6/1/1998 12:00:00 AM,29,,,"Mount Florida",0.2,"",""
G42 9BQ,Yes,55.825973,-4.256773,258726,661496,NS587614,1/1/1980 12:00:00 AM,,32,26,21,"Mount Florida",0.3,"",""
