Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
G31 2LA,No,55.858876,-4.220998,261084,665084,NS610650,12/1/1995 12:00:00 AM,12/1/1996 12:00:00 AM,33,,,"Bellgrove",0.3,"",""
G31 2LB,No,55.858876,-4.220998,261084,665084,NS610650,10/1/1994 12:00:00 AM,6/1/1997 12:00:00 AM,33,,,"Bellgrove",0.3,"",""
G31 2LD,Yes,55.858886,-4.220935,261088,665085,NS610650,1/1/1980 12:00:00 AM,,33,74,35,"Bellgrove",0.3,"",""
G31 2LF,Yes,55.858823,-4.220436,261119,665077,NS611650,1/1/1980 12:00:00 AM,,33,57,29,"Bellgrove",0.3,"",""
G31 2LG,Yes,55.858976,-4.21968,261167,665093,NS611650,1/1/1980 12:00:00 AM,,34,52,32,"Bellgrove",0.4,"",""
G31 2LH,Yes,55.858706,-4.219455,261180,665062,NS611650,1/1/1980 12:00:00 AM,,33,41,22,"Bellgrove",0.4,"",""
G31 2LJ,Yes,55.85861,-4.21881,261220,665050,NS612650,1/1/1980 12:00:00 AM,,32,25,12,"Duke Street",0.4,"",""
G31 2LL,No,55.858805,-4.219956,261149,665074,NS611650,1/1/1980 12:00:00 AM,2/1/2010 12:00:00 AM,33,,,"Bellgrove",0.4,"",""
G31 2LN,Yes,55.859544,-4.218831,261222,665154,NS612651,1/1/1980 12:00:00 AM,,37,37,15,"Duke Street",0.4,"",""
G31 2LP,Yes,55.859637,-4.219668,261170,665166,NS611651,1/1/1980 12:00:00 AM,,38,54,30,"Duke Street",0.4,"",""
G31 2LQ,Yes,55.859265,-4.21987,261156,665125,NS611651,1/1/1980 12:00:00 AM,,36,55,29,"Bellgrove",0.4,"",""
G31 2LR,Yes,55.860164,-4.218851,261223,665223,NS612652,1/1/1980 12:00:00 AM,,41,43,17,"Duke Street",0.4,"",""
G31 2LS,Yes,55.860981,-4.219377,261193,665315,NS611653,1/1/1980 12:00:00 AM,,45,108,48,"Duke Street",0.5,"",""
