Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
G11 7ST,Yes,55.871528,-4.315186,255237,666685,NS552666,1/1/1980 12:00:00 AM,,15,61,43,"Partick",0.4,"",""
G11 7SU,Yes,55.87113,-4.315515,255215,666642,NS552666,1/1/1980 12:00:00 AM,,15,0,0,"Partick",0.4,"",""
G11 7SW,Yes,55.872533,-4.314814,255264,666796,NS552667,12/1/1981 12:00:00 AM,,21,120,87,"Partick",0.5,"",""
G11 7SX,Yes,55.871458,-4.31432,255291,666676,NS552666,1/1/1980 12:00:00 AM,,14,22,17,"Partick",0.4,"",""
G11 7SY,Yes,55.871163,-4.314702,255266,666644,NS552666,1/1/1980 12:00:00 AM,,13,,,"Partick",0.4,"",""
G11 7SZ,Yes,55.871097,-4.31516,255237,666637,NS552666,1/1/1980 12:00:00 AM,,13,66,54,"Partick",0.4,"",""
G11 7TL,No,55.875759,-4.317676,255097,667161,NS550671,6/1/1996 12:00:00 AM,8/1/2002 12:00:00 AM,25,,,"Hyndland",0.5,"",""
G11 7TN,No,55.872041,-4.317998,255063,666748,NS550667,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,23,,,"Partick",0.6,"",""
G11 7TP,Yes,55.870919,-4.320345,254912,666628,NS549666,1/1/1980 12:00:00 AM,,12,37,26,"Partick",0.7,"",""
G11 7TQ,No,55.871088,-4.320882,254879,666648,NS548666,12/1/1986 12:00:00 AM,7/1/1992 12:00:00 AM,12,,,"Partick",0.8,"",""
G11 7TR,Yes,55.871222,-4.321434,254845,666664,NS548666,1/1/1980 12:00:00 AM,,12,16,11,"Partick",0.8,"",""
G11 7TS,Yes,55.871665,-4.321748,254827,666714,NS548667,1/1/1980 12:00:00 AM,,13,65,45,"Partick",0.8,"",""
G11 7TT,Yes,55.872391,-4.32136,254854,666794,NS548667,1/1/1980 12:00:00 AM,,20,88,39,"Partick",0.8,"",""
G11 7TU,Yes,55.871283,-4.320558,254900,666669,NS549666,1/1/1980 12:00:00 AM,,13,38,29,"Partick",0.7,"",""
G11 7TW,Yes,55.871788,-4.318111,255055,666720,NS550667,1/1/1980 12:00:00 AM,,21,79,44,"Partick",0.6,"",""
G11 7TX,Yes,55.871397,-4.321173,254862,666683,NS548666,1/1/1980 12:00:00 AM,,13,37,30,"Partick",0.8,"",""
G11 7TY,Yes,55.871661,-4.321028,254872,666712,NS548667,1/1/1980 12:00:00 AM,,14,35,31,"Partick",0.8,"",""
G11 7TZ,Yes,55.871556,-4.320415,254910,666699,NS549666,1/1/1980 12:00:00 AM,,15,43,30,"Partick",0.7,"",""
