Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
G2 6JD,No,55.859267,-4.261194,258570,665209,NS585652,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,22,,,"Glasgow Central",0.2,"",""
G2 6JF,No,55.858818,-4.261168,258570,665159,NS585651,8/1/1973 12:00:00 AM,8/1/1976 12:00:00 AM,19,,,"Glasgow Central",0.2,"",""
G2 6JG,No,55.859966,-4.261283,258567,665287,NS585652,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,28,,,"Glasgow Central",0.2,"",""
G2 6JH,No,55.859449,-4.261045,258580,665229,NS585652,8/1/1973 12:00:00 AM,12/1/1994 12:00:00 AM,23,,,"Glasgow Central",0.2,"",""
G2 6JJ,No,55.859449,-4.261045,258580,665229,NS585652,8/1/1973 12:00:00 AM,12/1/1995 12:00:00 AM,23,,,"Glasgow Central",0.2,"",""
G2 6JL,No,55.859966,-4.261283,258567,665287,NS585652,12/1/1986 12:00:00 AM,7/1/1992 12:00:00 AM,28,,,"Glasgow Central",0.2,"",""
G2 6JP,No,55.859966,-4.261283,258567,665287,NS585652,10/1/1992 12:00:00 AM,12/1/1994 12:00:00 AM,28,,,"Glasgow Central",0.2,"",""
G2 6JQ,No,55.85936,-4.26104,258580,665219,NS585652,8/1/1973 12:00:00 AM,8/1/1976 12:00:00 AM,23,,,"Glasgow Central",0.2,"",""
G2 6JR,No,55.859449,-4.261045,258580,665229,NS585652,4/1/1976 12:00:00 AM,7/1/1992 12:00:00 AM,23,,,"Glasgow Central",0.2,"",""
G2 6JX,No,55.860485,-4.259443,258684,665341,NS586653,1/1/1980 12:00:00 AM,11/1/2012 12:00:00 AM,30,0,0,"Glasgow Central",0.1,"",""
G2 6JY,No,55.860374,-4.259661,258670,665329,NS586653,1/1/1980 12:00:00 AM,12/1/1995 12:00:00 AM,29,,,"Glasgow Central",0.1,"",""
G2 6LA,No,55.860996,-4.260016,258650,665399,NS586653,12/1/1990 12:00:00 AM,12/1/1994 12:00:00 AM,33,,,"Glasgow Central",0.2,"",""
G2 6LB,No,55.86874,-4.243491,259712,666227,NS597662,11/1/2009 12:00:00 AM,7/1/2018 12:00:00 AM,48,,,"Glasgow Queen Street",0.9,"",""
G2 6LD,Yes,55.860485,-4.259443,258684,665341,NS586653,1/1/1980 12:00:00 AM,,30,1,1,"Glasgow Central",0.1,"",""
G2 6LE,No,55.860936,-4.258415,258750,665389,NS587653,1/1/1980 12:00:00 AM,12/1/1995 12:00:00 AM,34,,,"Glasgow Central",0.1,"",""
G2 6LF,No,55.868634,-4.241903,259811,666212,NS598662,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,48,,,"Glasgow Queen Street",0.9,"",""
G2 6LG,No,55.860382,-4.259182,258700,665329,NS587653,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,30,,,"Glasgow Central",0.1,"",""
G2 6LH,No,55.860565,-4.259033,258710,665349,NS587653,5/1/1977 12:00:00 AM,7/1/1992 12:00:00 AM,31,,,"Glasgow Central",0.1,"",""
G2 6LJ,No,55.860382,-4.259182,258700,665329,NS587653,1/1/1980 12:00:00 AM,12/1/1995 12:00:00 AM,30,,,"Glasgow Central",0.1,"",""
G2 6LL,Yes,55.860729,-4.259124,258705,665368,NS587653,1/1/1980 12:00:00 AM,,31,0,0,"Glasgow Central",0.1,"",""
G2 6LN,No,55.868634,-4.241903,259811,666212,NS598662,8/1/1973 12:00:00 AM,3/1/1977 12:00:00 AM,48,,,"Glasgow Queen Street",0.9,"",""
G2 6LP,No,55.860565,-4.259033,258710,665349,NS587653,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,31,,,"Glasgow Central",0.1,"",""
G2 6LQ,No,55.860565,-4.259033,258710,665349,NS587653,8/1/1973 12:00:00 AM,3/1/1977 12:00:00 AM,31,,,"Glasgow Central",0.1,"",""
G2 6LR,No,55.868634,-4.241903,259811,666212,NS598662,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,48,,,"Glasgow Queen Street",0.9,"",""
